SELECT * FROM `permisos`;


id_permiso	permiso	etiqueta	descripcion	kid_tabla	kid_creacion	fecha_creacion	kid_estatus	
1	crear_clientes	Crear Clientes	Permiso para Crear Clientes	1	1	2025-03-14 13:16:28	1	
2	editar_clientes	Editar Clientes	Permiso para Editar Clientes	1	1	2025-03-14 13:16:28	1	
3	ver_clientes	Ver Clientes	Permiso para Ver Clientes	1	1	2025-03-14 13:16:28	1	
4	eliminar_clientes	Eliminar Clientes	Permiso para Eliminar Clientes	1	1	2025-03-14 13:16:28	1	
5	crear_planeaciones_compras	Crear Planeaciones Compras	Permiso para Crear Planeaciones Compras	2	1	2025-03-14 13:16:28	1	
6	editar_planeaciones_compras	Editar Planeaciones Compras	Permiso para Editar Planeaciones Compras	2	1	2025-03-14 13:16:28	1	
7	ver_planeaciones_compras	Ver Planeaciones Compras	Permiso para Ver Planeaciones Compras	2	1	2025-03-14 13:16:28	1	
8	eliminar_planeaciones_compras	Eliminar Planeaciones Compras	Permiso para Eliminar Planeaciones Compras	2	1	2025-03-14 13:16:28	1	
9	crear_almacen_mhe	Crear Almacen Mhe	Permiso para Crear Almacen Mhe	3	1	2025-03-14 13:16:28	1	
10	editar_almacen_mhe	Editar Almacen Mhe	Permiso para Editar Almacen Mhe	3	1	2025-03-14 13:16:28	1	
11	ver_almacen_mhe	Ver Almacen Mhe	Permiso para Ver Almacen Mhe	3	1	2025-03-14 13:16:28	1	
12	eliminar_almacen_mhe	Eliminar Almacen Mhe	Permiso para Eliminar Almacen Mhe	3	1	2025-03-14 13:16:28	1	
13	crear_articulos	Crear Articulos	Permiso para Crear Articulos	4	1	2025-03-14 13:16:28	1	
14	editar_articulos	Editar Articulos	Permiso para Editar Articulos	4	1	2025-03-14 13:16:28	1	
15	ver_articulos	Ver Articulos	Permiso para Ver Articulos	4	1	2025-03-14 13:16:28	1	
16	eliminar_articulos	Eliminar Articulos	Permiso para Eliminar Articulos	4	1	2025-03-14 13:16:28	1	
17	crear_bancos	Crear Bancos	Permiso para Crear Bancos	5	1	2025-03-14 13:16:28	1	
18	editar_bancos	Editar Bancos	Permiso para Editar Bancos	5	1	2025-03-14 13:16:28	1	
19	ver_bancos	Ver Bancos	Permiso para Ver Bancos	5	1	2025-03-14 13:16:28	1	
20	eliminar_bancos	Eliminar Bancos	Permiso para Eliminar Bancos	5	1	2025-03-14 13:16:28	1	
21	crear_bolsas_proyectos	Crear Bolsas Proyectos	Permiso para Crear Bolsas Proyectos	6	1	2025-03-14 13:16:28	1	
